Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-8.06179e-05,-4.38499e-05,-6.56992e-05,0.0068635,0.0250801,0.0354932,169
-7.93275e-05,-3.88819e-05,-4.65328e-05,0.00601405,0.0246591,0.0356312,170
-8.05485e-05,-4.46776e-05,-4.01433e-05,0.00518638,0.0241762,0.03579,171
-7.04809e-05,-4.01021e-05,-2.66635e-05,0.00438338,0.0236323,0.035969,172
-5.75997e-05,-3.06354e-05,-1.53468e-05,0.00360787,0.0230289,0.0361685,173
-3.50214e-05,-1.99616e-05,-1.08944e-07,0.00286256,0.0223673,0.0363888,174
-2.58033e-05,-1.41414e-05,1.0193e-06,0.00215004,0.0216485,0.0366298,175
-1.64817e-05,-1.10411e-05,-3.44353e-06,0.00147281,0.0208739,0.0368921,176
-3.34784e-05,-2.6648e-05,-0.000121554,0.0113633,0.0256593,0.0343461,177
-4.17153e-05,-3.31931e-05,-0.000112482,0.0104819,0.0255658,0.0343769,178
-4.45463e-05,-2.96087e-05,-9.42264e-05,0.00960635,0.0254103,0.0344283,179
-5.80189e-05,-3.24299e-05,-8.65939e-05,0.00873938,0.0251931,0.0345002,180
-6.18666e-05,-1.72296e-05,-6.07033e-05,0.00788383,0.0249147,0.0345926,181
-5.62281e-05,-2.53716e-05,-4.13182e-05,0.0070425,0.0245756,0.0347053,182
-5.52258e-05,-1.776e-05,-2.26515e-05,0.00621811,0.0241768,0.0348385,183
-5.42782e-05,-1.43948e-05,-2.48623e-05,0.00541337,0.0237188,0.034992,184
-4.5941e-05,-1.54474e-05,-1.91335e-05,0.00463088,0.0232027,0.0351658,185
-3.63096e-05,-6.03462e-06,-1.03291e-05,0.0038732,0.0226293,0.0353602,186
-1.81625e-05,-3.93911e-06,-5.07348e-07,0.0031428,0.0219996,0.0355753,187
-1.1179e-05,6.81379e-06,-7.512e-05,0.0113658,0.0250523,0.0336027,188
-2.44552e-05,-2.53525e-07,-8.00046e-05,0.010487,0.0249579,0.0336345,189
-2.99762e-05,-1.69289e-06,-6.59739e-05,0.00961395,0.024801,0.0336875,190
-3.23641e-05,-3.18807e-06,-4.78862e-05,0.00874939,0.0245817,0.0337617,191
-2.72855e-05,-5.0686e-08,-2.29313e-05,0.00789616,0.0243006,0.0338571,192
-3.05983e-05,-2.43521e-06,-2.18227e-05,0.00705702,0.0239581,0.0339738,193
-2.65862e-05,-3.83116e-06,-3.84608e-06,0.00623469,0.023555,0.0341118,194
-4.22789e-05,-0.000186805,-0.00024403,0.0113146,0.0290233,0.0411909,195
-0.000100678,-0.000188031,-0.000250826,0.0103852,0.0289248,0.041222,196
-0.000150419,-0.0001858,-0.000236235,0.00946251,0.0287609,0.0412737,197
-0.000181577,-0.000177388,-0.000214602,0.00854992,0.0285323,0.0413457,198
-0.000202077,-0.000165495,-0.000179912,0.00765073,0.0282398,0.0414379,199
-0.000222879,-0.000140703,-0.000156183,0.00676821,0.0278845,0.0415499,200
-0.000216442,-0.000140839,-0.000125997,0.00590555,0.0274677,0.0416813,201
-0.000208447,-0.000127393,-9.71113e-05,0.00506588,0.0269907,0.0418317,202
-0.000195506,-0.000111546,-6.51802e-05,0.00425225,0.0264554,0.0420004,203
-0.000167872,-9.41703e-05,-4.10171e-05,0.00346761,0.0258637,0.042187,204
-0.00013317,-8.16127e-05,-2.65663e-05,0.00271479,0.0252176,0.0423906,205
-0.000102034,-6.11595e-05,-1.04099e-05,0.00199653,0.0245194,0.0426106,206
-6.09468e-05,-4.98444e-05,-6.67573e-06,0.00131543,0.0237718,0.0428463,207
-4.42921e-05,-3.86693e-05,-3.79713e-06,0.000673964,0.0229772,0.0430967,208
-2.77394e-05,-2.70493e-05,3.16812e-07,7.44509e-05,0.0221384,0.0433611,209
-1.47433e-05,-1.60773e-05,4.0351e-07,-0.000480928,0.0212584,0.0436383,210
-4.72088e-06,-5.96729e-06,7.8198e-07,-0.000990164,0.0203401,0.0439276,211
-4.99865e-05,-0.000198596,-0.000221766,0.0113257,0.0292424,0.0421254,212
-0.000102126,-0.000191302,-0.000236754,0.0104072,0.0291458,0.0421558,213
-0.000148777,-0.000191148,-0.000217554,0.00949515,0.0289852,0.0422065,214
-0.000187712,-0.000180886,-0.000192193,0.00859289,0.0287611,0.0422771,215
-0.000216237,-0.000176016,-0.000167236,0.00770357,0.0284742,0.0423674,216
-0.000235341,-0.000150093,-0.000151999,0.00683033,0.0281256,0.0424771,217
-0.000232562,-0.000142177,-0.000116005,0.00597627,0.0277164,0.0426058,218
-0.000222867,-0.000134397,-8.71928e-05,0.00514441,0.0272481,0.0427533,219
-0.000203782,-0.000117788,-6.63987e-05,0.00433769,0.0267222,0.0429189,220
-0.000179681,-9.42822e-05,-4.10765e-05,0.00355897,0.0261404,0.043102,221
-0.000142928,-8.49794e-05,-2.35044e-05,0.00281101,0.0255048,0.0433019,222
-0.000111616,-6.61722e-05,-9.82346e-06,0.00209645,0.0248173,0.0435181,223
-7.31924e-05,-5.19705e-05,-6.64505e-06,0.00141782,0.0240803,0.0437498,224
-4.48781e-05,-4.01733e-05,-4.59492e-06,0.000777534,0.0232959,0.0439961,225
-2.85262e-05,-2.71072e-05,1.43507e-06,0.000177842,0.0224667,0.0442565,226
-1.42072e-05,-1.56295e-05,-9.58607e-07,-0.000379118,0.0215951,0.0445299,227
-6.205e-06,-7.68297e-06,2.24263e-06,-0.000891387,0.0206833,0.0448154,228
-6.71798e-05,-0.000195269,-0.000204637,0.0113412,0.0294143,0.0430695,229
-0.000110064,-0.000198128,-0.000206108,0.010438,0.0293203,0.0430992,230
-0.000149724,-0.000183242,-0.000184671,0.009541,0.029164,0.0431483,231
-0.000195869,-0.000187917,-0.000169869,0.00865327,0.0289458,0.0432168,232
-0.000223442,-0.000161694,-0.000154152,0.00777784,0.0286664,0.0433045,233
-0.000235054,-0.000151759,-0.000137188,0.00691771,0.0283268,0.0434111,234
-0.000234521,-0.000150388,-0.000102572,0.00607581,0.027928,0.0435362,235
-0.000229476,-0.00012994,-8.04662e-05,0.00525503,0.0274712,0.0436794,236
-0.000207497,-0.000120359,-6.0191e-05,0.00445817,0.0269578,0.0438402,237
-0.000183831,-9.79648e-05,-3.93202e-05,0.00368797,0.0263893,0.0440182,238
-0.000149496,-8.18452e-05,-2.68724e-05,0.00294706,0.0257675,0.044213,239
-0.000113347,-7.10852e-05,-1.0115e-05,0.00223797,0.0250942,0.0444236,240
-8.28466e-05,-5.73543e-05,-1.42359e-06,0.00156313,0.0243711,0.0446494,241
-5.55469e-05,-4.38695e-05,-2.61788e-06,0.000924851,0.0236003,0.0448897,242
-3.40705e-05,-3.06634e-05,6.56709e-07,0.000325309,0.0227835,0.0451438,243
-1.78836e-05,-1.81953e-05,2.867e-06,-0.000233434,0.0219225,0.0454107,244
-6.23375e-06,-7.49389e-06,5.94791e-08,-0.000749471,0.0210188,0.0456895,245
-6.17765e-05,-0.000174653,-0.000174377,0.0113084,0.0295348,0.0440223,246
-0.000102547,-0.000189344,-0.000172027,0.0103728,0.0294329,0.0440543,247
-0.000154679,-0.000193093,-0.00015904,0.00944404,0.0292635,0.0441072,248
-0.000201936,-0.000188743,-0.000145616,0.00852562,0.0290271,0.0441809,249
-0.000233953,-0.000163455,-0.000131261,0.00762086,0.0287244,0.0442752,250
-0.000245958,-0.000157182,-0.000103636,0.00673311,0.0283564,0.0443899,251
-0.000241172,-0.000150981,-7.89988e-05,0.00586561,0.0279243,0.0445247,252
-0.000240767,-0.000122526,-5.79308e-05,0.00502156,0.0274293,0.0446789,253
-0.000213785,-0.000112037,-4.33801e-05,0.00420407,0.0268729,0.0448518,254
-0.000177536,-9.75093e-05,-2.38017e-05,0.00341612,0.0262567,0.0450429,255
-0.00013744,-8.10068e-05,-1.02914e-05,0.00266062,0.0255824,0.0452515,256
-9.74721e-05,-7.02769e-05,-1.07247e-06,0.00194033,0.0248518,0.0454774,257
-7.33944e-05,-5.46908e-05,2.9205e-06,0.00125792,0.0240665,0.0457192,258
-4.65929e-05,-3.87473e-05,-1.68526e-07,0.000615884,0.0232281,0.045976,259
-2.37243e-05,-2.35347e-05,2.77869e-06,1.65826e-05,0.0223379,0.0462468,260
-9.48783e-06,-1.16745e-05,1.49927e-06,-0.000537785,0.0213968,0.0465304,261
-5.39289e-05,-0.000169726,-0.000137988,0.0113323,0.029611,0.0449787,262
-0.000102513,-0.000180069,-0.000133797,0.0104203,0.0295131,0.0450092,263
-0.000152164,-0.000194184,-0.000123294,0.00951468,0.0293502,0.0450596,264
-0.000188211,-0.000199981,-0.000113622,0.0086186,0.0291229,0.04513,265
